question,step,k,acc_mean,acc_std,n_full,n_partial,n_wrong,score_mean,score_var,score_std,iou_mean,iou_max,zero_acc_var,zero_score_var
"After the kayaker finishes adjusting and casting the fishing line, what colour is the paddle they then use to propel the kayak toward the fisherman on the riverbank?",170,16,1.0,0.0,16,0,0,1.7163,0.03647,0.191,0.2163,0.5636,1,0
"After the onscreen text boasts '30-PERCENT LESS GRINDING' and 'HIGHER QUALITY, FASTER ROOT PASS' during the grinding scene, what metalworking process is shown next on the two pipes?",169,16,1.0,0.0,16,0,0,1.8085,0.03511,0.1874,0.3085,0.625,1,0
"In the arm-wrestling bout where the black-shirted competitor props a leg on the mosaic table, what color shirt is worn by the opponent who ultimately wins?",208,16,1.0,0.0,16,0,0,1.9554,0.03399,0.1844,0.4554,0.7433,1,0
"After the camera passes the blue “ZONE 4” sign and walks down the concrete steps onto the sand, what small structure is visible near the shoreline?",183,16,1.0,0.0,16,0,0,2.0576,0.03379,0.1838,0.5576,0.9,1,0
"When the performer at center stage provides vocals while simultaneously strumming, which kind of guitar is he playing?",163,16,1.0,0.0,16,0,0,1.7315,0.03258,0.1805,0.2315,0.6091,1,0
"After the video first displays the book cover with the cross-legged water skier, what maneuver later appears on-screen as text while a live skier performs it?",218,16,1.0,0.0,16,0,0,1.7792,0.03225,0.1796,0.2792,0.7812,1,0
"After thoroughly scraping out the pumpkin’s seeds, what color pencil does the person use to draw guideline shapes on its surface?",231,16,1.0,0.0,16,0,0,1.9523,0.0322,0.1794,0.4523,0.7722,1,0
"When the video moves from simply displaying the raging river to featuring a group paddling a yellow raft together, which single-occupant craft accompanies the raft down the rapids?",197,16,1.0,0.0,16,0,0,1.8331,0.03128,0.1769,0.3331,0.6644,1,0
What balance-based activity is shown immediately after the man finishes stretching with a green resistance band attached to a graffitied pole?,196,16,1.0,0.0,16,0,0,1.9436,0.03065,0.1751,0.4436,0.7391,1,0
Which power tool does the mechanic use both when initially loosening the lug nuts and later tightening them after using an electric drill to remove them?,229,16,1.0,0.0,16,0,0,2.2624,0.03022,0.1738,0.7624,0.9851,1,0
What specific site is named on the sign that the camera lingers on just after the vehicle’s road-side journey that follows the beachgoers wading in the waves?,163,16,1.0,0.0,16,0,0,1.8722,0.03006,0.1734,0.3722,0.6667,1,0
"After the camera cuts from the man’s initial empty-handed Tai Chi to a close-up of the stone wall and flowers, what object is he holding when he reappears?",217,16,1.0,0.0,16,0,0,1.7569,0.02896,0.1702,0.2569,0.5263,1,0
"Right after the opening animation where abstract shapes morph into a flower title, what type of surface does the video reveal beneath the partially completed purple knitting piece?",158,16,1.0,0.0,16,0,0,1.6774,0.02768,0.1664,0.1774,0.55,1,0
"Which object, removed and inspected after the first handwash, later sits on the counter beside the sink throughout subsequent washing scenes?",183,16,1.0,0.0,16,0,0,1.8758,0.02768,0.1664,0.3758,0.7757,1,0
"After first showing the cube’s white face already solved, which layer does the solver focus on finishing in the subsequent guided demonstration?",196,16,1.0,0.0,16,0,0,2.0608,0.02697,0.1642,0.5608,0.8143,1,0
"Immediately after the orange rectangle displaying the contact email disappears, what exact three-word phrase is shown in the central banner on the next screen?",222,16,1.0,0.0,16,0,0,1.8186,0.02667,0.1633,0.3186,0.6667,1,0
"After completing push-ups on the grass using resistance bands, what athletic activity does the man practice next on the nearby track?",176,16,1.0,0.0,16,0,0,1.9394,0.02656,0.163,0.4394,0.8333,1,0
"When the traditionally dressed demonstrator stands in the open field displaying two different bows, which two specific Grózer Turkish bow models does he present?",192,16,1.0,0.0,16,0,0,1.9464,0.02642,0.1625,0.4464,0.8692,1,0
Whose name appears on the title screens right before she begins leading the energetic Zumba session in the mirrored dance studio?,215,16,1.0,0.0,16,0,0,2.013,0.02565,0.1602,0.513,0.9091,1,0
Which color utensil is used to manually scrape the cake batter after the electric mixer but before the batter is spooned into baking tins?,212,16,1.0,0.0,16,0,0,2.1629,0.02549,0.1597,0.6629,0.8889,1,0
"After the suspenseful text saying ""SUDDENLY AND JUST WHEN ALL HOPE WAS LOST..."", what single word appears on-screen to mark the dog's first successful frisbee catch?",135,16,1.0,0.0,16,0,0,1.9341,0.02533,0.1591,0.4341,0.7222,1,0
What color is the T-shirt worn by the man who gestures during the outdoor conversation and later stands on the boat just before Robbie McMillin begins water-skiing?,173,16,1.0,0.0,16,0,0,2.1662,0.02506,0.1583,0.6662,0.8824,1,0
"During the segment that shows starburst graphics and the text “YOUR WATCHING!”, which color hurdle does the horse strike, causing its top bar to fall?",233,16,1.0,0.0,16,0,0,2.1297,0.02498,0.1581,0.6297,1.0,1,0
"After the tool is first called “Simply an ingenious tool,” which two on-screen phrases later describe its design and speed?",209,16,1.0,0.0,16,0,0,1.9498,0.02495,0.1579,0.4498,0.6818,1,0
"According to the marathon map displayed just before the wheelchair athlete is shown crossing the finish line, at which park does the highlighted ""Two-Person Exchange"" occur?",178,16,1.0,0.0,16,0,0,2.0461,0.02449,0.1565,0.5461,0.8447,1,0
What color is common to both the rail skateboarders grind on at the basketball court and the portable ramp they later set up beside the pathway?,166,16,1.0,0.0,16,0,0,2.2119,0.02433,0.156,0.7119,0.8571,1,0
"After the sunset golf putting scene, during all her subsequent croquet and other lawn-game attempts on the grassy field, what colour is the ball the woman repeatedly tries to hit?",139,16,1.0,0.0,16,0,0,2.1763,0.02351,0.1533,0.6763,0.8937,1,0
Which household task is performed first on the bed and later on the floor while a second person watches from the bed?,238,16,1.0,0.0,16,0,0,2.2273,0.0234,0.153,0.7273,0.8811,1,0
"Immediately before the hand turns the large black dial on the handheld device, what color are the diamond-embedded abrasive pads shown in the split-screen view?",166,16,1.0,0.0,16,0,0,1.8373,0.02322,0.1524,0.3373,0.5848,1,0
"Which specific tool, absent during the child’s hair rinse in the bathtub, does the woman later hold while helping the child at the bathroom sink?",176,16,1.0,0.0,16,0,0,1.9156,0.02267,0.1506,0.4156,0.8365,1,0
"After the on-screen text declares “New PR” for the 195-pound snatch, what heavier weight does the man attempt to snatch next?",226,16,1.0,0.0,16,0,0,2.0205,0.02255,0.1502,0.5205,0.8182,1,0
"When an off-screen hand points toward the floor, what object is the shirtless man pressing into position?",218,16,1.0,0.0,16,0,0,1.6322,0.02232,0.1494,0.1322,0.5,1,0
Which item that the dog drags behind it during the suburban street scenes does the girl later carry while strolling by the ocean?,168,16,1.0,0.0,16,0,0,1.9589,0.022,0.1483,0.4589,0.647,1,0
"After the earlier cleaning mixture is prepared in a blue bucket, into which color bucket does the woman later pour the golden “The Mop Doctor Anti-Slip” liquid before using the mop?",176,16,1.0,0.0,16,0,0,2.0588,0.02191,0.148,0.5588,0.7517,1,0
"Of the Coca-Cola bottle, Red Bull can, and milk bottle first arranged on the table, which beverage is poured into the glass immediately after the Coca-Cola is poured?",232,16,1.0,0.0,16,0,0,2.0794,0.0217,0.1473,0.5794,0.7211,1,0
"Following the flamboyantly costumed announcer’s pitch for the female amateur wrestling challenge, which game does Bobby Blotzer concentrate on in the dimly lit club?",202,16,1.0,0.0,16,0,0,1.7335,0.02145,0.1465,0.2335,0.4667,1,0
"Which exact phrase, shown on pink-tinted frames, marks the time jump just before the woman demonstrates the “Red Eye” wipe around her eyes?",213,16,1.0,0.0,16,0,0,2.1391,0.02136,0.1462,0.6391,1.0,1,0
"After the factory’s detailed charts and graphs appear, which label is printed on the yellow quality-control sign shown before the camera switches to workers adjusting bicycle wheels on the overhead conveyor?",227,16,1.0,0.0,16,0,0,1.9422,0.02109,0.1452,0.4422,0.75,1,0
"Before the solar system poster is later smoothed onto the wall, what exact phrase appears on the first poster the hands tape up on the plain white wall?",150,16,1.0,0.0,16,0,0,1.8619,0.02045,0.143,0.3619,0.7772,1,0
"After the early slip-stitching done solely with hands and yarn, what color is the small tool that later appears to lift the yarn loops over the loom’s pegs?",201,16,1.0,0.0,16,0,0,1.9259,0.02039,0.1428,0.4259,0.6667,1,0
"After the action camera has been locked in place with the three-way adjustable pivot arm, what type of environment does the cyclist later ride through from the camera’s first-person view?",180,16,1.0,0.0,16,0,0,2.0032,0.02031,0.1425,0.5032,0.7455,1,0
What man-made vehicle emerges from the black background at the start of the video before later scenes show camel riding?,188,16,1.0,0.0,16,0,0,2.2518,0.02027,0.1424,0.7518,0.9774,1,0
"Immediately before the woman in a yellow top starts shaping the sandcastle with a yellow tool, which two-digit number is prominently carved into another sand sculpture?",214,16,1.0,0.0,16,0,0,1.663,0.01999,0.1414,0.163,0.5,1,0
"Which object is first shown in a close-up right after the sled ride, is later sharpened on a stone, and finally used by the man while carving wood that sparks a nighttime fire?",220,16,1.0,0.0,16,0,0,1.6504,0.01979,0.1407,0.1504,0.5217,1,0
Which colors identify the clothing of the child who first watches the green-dressed girl but later becomes the confident hopscotch player?,206,16,1.0,0.0,16,0,0,2.2012,0.01953,0.1397,0.7012,0.9111,1,0
"Which material, brushed around the nail edges early in the tutorial, shown drying beneath a two-minute clock, is later peeled off with tweezers to reveal clean boundaries?",147,16,1.0,0.0,16,0,0,1.9209,0.01949,0.1396,0.4209,0.6577,1,0
"When the man in the black shirt shifts from the sidewalk argument to executing spins, jumps, and a finishing handstand, which single-digit number is printed on the back of his shirt?",235,16,1.0,0.0,16,0,0,1.8626,0.01901,0.1379,0.3626,0.6364,1,0
What two requirements does the instructor identify as Rule #1 and Rule #2 for performing a back float before the learner demonstrates it?,157,16,1.0,0.0,16,0,0,2.1361,0.01826,0.1351,0.6361,0.7834,1,0
"Following his initial period of solely drumming, what activity does the musician add to his performance while remaining seated behind the conga drums?",174,16,1.0,0.0,16,0,0,1.8375,0.01767,0.1329,0.3375,0.5522,1,0
"While the dog’s attention is kept on the treat held before it, which grooming tool is the groomer using to trim its fur?",235,16,1.0,0.0,16,0,0,1.6709,0.01731,0.1316,0.1709,0.585,1,0
"After the cyclist pedals along the curved suburban road, what obstacles does the following rollerblader slalom around on the street?",170,16,1.0,0.0,16,0,0,1.6403,0.01729,0.1315,0.1403,0.435,1,0
"Immediately after the orange-clad player’s jubilant goal celebration, in what visual style is the next sequence of gameplay shown?",161,16,1.0,0.0,16,0,0,1.805,0.01593,0.1262,0.305,0.5,1,0
"After drinking from his water bottle, the man meets a woman who is eating an ice-cream cone. What tool does he hand to her?",178,16,1.0,0.0,16,0,0,2.0119,0.01583,0.1258,0.5119,0.7,1,0
Which cutting tool is used on the CD before a knife later slices a rectangular section to fit a clear lens?,214,16,1.0,0.0,16,0,0,2.0493,0.0158,0.1257,0.5493,0.8875,1,0
"After chips are crumbled onto the dirty turquoise sneakers and they are scrubbed with liquid stain remover, which powdered substance is later poured into a cup of detergent to make the sole-cleaning mixture?",166,16,1.0,0.0,16,0,0,1.8206,0.01547,0.1244,0.3206,0.6,1,0
"After the on-screen label shows a 10-metre “403b” dive, which dive code is displayed for the following 5-metre attempt?",153,16,1.0,0.0,16,0,0,2.0905,0.01546,0.1243,0.5905,0.8563,1,0
"Which single German word, visible on banners behind the seated interviewee and again when spectators are shown on an indoor balcony, indicates that the gathering is a championship event?",228,16,1.0,0.0,16,0,0,2.0341,0.01541,0.1242,0.5341,0.9,1,0
"After the waves batter the jagged shoreline, the next shot shows a person crossing tall grass; toward what man-made structures is that person walking before the footage switches to first-person kayaking?",199,16,1.0,0.0,16,0,0,1.9375,0.01534,0.1239,0.4375,0.75,1,0
"After inflating the repaired bicycle wheel and securing it back onto the frame, what does the person do to verify the repair’s success?",190,16,1.0,0.0,16,0,0,1.907,0.01532,0.1238,0.407,0.6808,1,0
"After the outdoor field hockey penalty shot is saved, which drinking game do participants play around a long table indoors before the scene switches to dancing?",197,16,1.0,0.0,16,0,0,2.1659,0.01502,0.1226,0.6659,0.9091,1,0
"After knitting off pegs 1 and 3, which peg is re-designated as “peg 2” before the wrapping process restarts?",237,16,1.0,0.0,16,0,0,1.9432,0.01438,0.1199,0.4432,0.8258,1,0
"After the bartender measures, stirs, and pours the cocktail into a glass, which fruit’s peel does he rub along the rim before dropping it into the drink?",214,16,1.0,0.0,16,0,0,2.0607,0.01425,0.1194,0.5607,0.8444,1,0
Which academy’s logo appears on-screen during the first fencing bout that follows the opening TCCII Productions logo?,194,16,1.0,0.0,16,0,0,1.7872,0.01412,0.1188,0.2872,0.4444,1,0
"After the person repeatedly stamps a dusty sneaker on the wooden plank, what tool do they later use to rinse another shoe?",207,16,1.0,0.0,16,0,0,2.0765,0.01381,0.1175,0.5765,0.7533,1,0
"In the blueprint sequence that appears after the sanding segment, which label is displayed between the frames titled “DOORS” and the multiple frames titled “WINDOWS”?",135,16,1.0,0.0,16,0,0,1.9869,0.01357,0.1165,0.4869,0.7143,1,0
"Which tool, first displayed alone against a beige background with text describing it as a soft nylon brush, does the demonstrator later use to sweep along the ski’s surface?",187,16,1.0,0.0,16,0,0,1.7282,0.01304,0.1142,0.2282,0.4167,1,0
"After the glowing hexagon logo appears but before participants finish the street-long water slide and spray foam in celebration, what famous structure is shown from an aerial viewpoint?",195,16,1.0,0.0,16,0,0,1.7385,0.01292,0.1137,0.2385,0.4,1,0
What warning message is printed on the sign positioned beside the wooden deck that participants pass while dragging their tubes toward the snowy slope?,224,16,1.0,0.0,16,0,0,1.9392,0.01292,0.1137,0.4392,0.7027,1,0
"After the camera pans along the tangled bright orange cable lying on the grass, what object does it zoom in on, revealing cut grass and debris around its blades?",227,16,1.0,0.0,16,0,0,2.2439,0.0127,0.1127,0.7439,0.9812,1,0
"After a clear base coat is applied but before a yellow sponge is shown being trimmed, what kind of polish is painted onto the nails?",233,16,1.0,0.0,16,0,0,1.9148,0.01237,0.1112,0.4148,0.7143,1,0
"When the person tests the freshly sharpened knife by slicing a sheet of white paper, what pattern is visible on their pants?",238,16,1.0,0.0,16,0,0,2.3321,0.01173,0.1083,0.8321,0.9595,1,0
"After completing the Row 1 sequence of “k1, yf, sl1, yo,” what stitch sequence does the on-screen text instruct for the subsequent Row 2?",176,16,1.0,0.0,16,0,0,1.89,0.01165,0.1079,0.39,0.6,1,0
"After the group installs fresh fence panels, what color wood stain do they apply to the fence during the next day's painting activity?",183,16,1.0,0.0,16,0,0,1.8466,0.01151,0.1073,0.3466,0.5243,1,0
"After she shows a red apple near the start, what specific tool does the blue-haired woman later use on her eyelashes right before picking up the mascara?",221,16,1.0,0.0,16,0,0,2.0158,0.0115,0.1072,0.5158,0.7158,1,0
"After the Harvard sailboat dramatically tips and then rights itself, what setting does the video cut to next?",220,16,1.0,0.0,16,0,0,1.5362,0.01123,0.106,0.0362,0.4181,1,0
"After the person walks from the living room into the kitchen, what chore do they begin doing at the sink?",190,16,1.0,0.0,16,0,0,1.8736,0.01117,0.1057,0.3736,0.5543,1,0
Which makeup product does the woman begin applying right after she recommends using a moisturizer with high SPF?,236,16,1.0,0.0,16,0,0,1.9596,0.01114,0.1056,0.4596,0.7143,1,0
"Which instrument does the striped-shirted performer play both at the beginning and again in the closing minute, though it never appears during the middle passage centered on the floral-shirted bassist?",182,16,1.0,0.0,16,0,0,2.252,0.01112,0.1055,0.752,0.9192,1,0
Which kitchen surface does the person clean immediately after spraying and wiping the countertop beside the espresso machine?,144,16,1.0,0.0,16,0,0,1.814,0.01006,0.1003,0.314,0.5,1,0
"After the cook dissolves sugar in warm water on the stove and continues stirring, which dried ingredient do they pour into the gently boiling pot before closing its lid?",170,16,1.0,0.0,16,0,0,1.731,0.0098,0.099,0.231,0.4545,1,0
"Before the shoe is later coated with brown Easy Crust and finally buffed with PW-4040 wax, what color paint is initially brushed into its perforations?",161,16,1.0,0.0,16,0,0,1.9146,0.00925,0.0962,0.4146,0.5556,1,0
"After the barber completes the straight-razor shave, which color towel does she repeatedly use to wipe the client’s face before the video ends?",154,16,1.0,0.0,16,0,0,1.7122,0.00924,0.0961,0.2122,0.4214,1,0
Which airline’s parked plane appears on screen immediately after the close-up of an airline ticket that follows the skier shaking off powder?,136,16,1.0,0.0,16,0,0,1.7952,0.00881,0.0938,0.2952,0.5,1,0
"Before the beach soccer scenes with the orange ball, what color is the ball the blond-haired child kicks on the grassy field?",208,16,1.0,0.0,16,0,0,2.1571,0.00791,0.0889,0.6571,0.7857,1,0
"During transitions from the male harmonica player to the blonde pianist, what written item is visible on the piano in front of her while she performs?",227,16,1.0,0.0,16,0,0,1.6864,0.0079,0.0889,0.1864,0.4469,1,0
"After the blue screen that states ""Room at the mark,"" what color buoy do the sailors immediately steer around?",210,16,1.0,0.0,16,0,0,2.1868,0.00778,0.0882,0.6868,0.8824,1,0
Which single word appears on screen right after the man in a black Sierra Snowboard T-shirt addresses the camera against a plain white background?,223,16,1.0,0.0,16,0,0,1.5686,0.00704,0.0839,0.0686,0.25,1,0
"After sharpening and inspecting the knife, what object does the person use to wipe the sharpening tool?",239,16,1.0,0.0,16,0,0,1.5254,0.00701,0.0837,0.0254,0.3444,1,0
"During the sequences where the presenter wets the stones, alternates between coarse grit and diamond plates, and repeatedly sharpens the chef’s knife, what unused object can be seen lying on the workspace the whole time?",230,16,1.0,0.0,16,0,0,2.0149,0.00624,0.079,0.5149,0.6583,1,0
"Following the salt-and-pepper seasoning, which ingredient does the chef squeeze onto the tomato salad immediately before pouring olive oil?",197,16,1.0,0.0,16,0,0,2.253,0.00621,0.0788,0.753,0.8743,1,0
"After the diver finishes the pool segment demonstrating body control, which marine animal appears when the scene shifts to open water?",217,16,1.0,0.0,16,0,0,1.6791,0.00617,0.0786,0.1791,0.375,1,0
"After first manipulating the yarn with the yellow-handled tool, what color-handled tool does the demonstrator use when the camera refocuses on the circular loom?",223,16,1.0,0.0,16,0,0,1.7052,0.00606,0.0778,0.2052,0.4545,1,0
Which ignition tool ultimately succeeds in producing a steady fire after the earlier failed attempts with a ferro rod and a magnesium starter?,158,16,1.0,0.0,16,0,0,1.6811,0.0059,0.0768,0.1811,0.3333,1,0
What word appears on the front of the green shirt worn by the man interviewed indoors in front of a solar-panel backdrop after the opening beach soccer play?,189,16,1.0,0.0,16,0,0,2.2876,0.00588,0.0767,0.7876,0.8824,1,0
"Following the initial push-mowing scene that brightens from darkness, what color is the riding mower that later drives directly toward the camera until it nearly fills the frame?",141,16,1.0,0.0,16,0,0,1.6762,0.00574,0.0758,0.1762,0.3502,1,0
"After the scene in which the woman on the black leather couch talks about knitting pattern books, what color are the knitting needles seen in the subsequent close-ups of her hands working?",181,16,1.0,0.0,16,0,0,1.6635,0.00544,0.0738,0.1635,0.3,1,0
What celestial body on the solar-system poster does the person measure just before switching the tape measure to the blank white wall?,238,16,1.0,0.0,16,0,0,2.1726,0.00536,0.0732,0.6726,0.8,1,0
"After the child finishes exploring the smartphone in the high chair, what object do they immediately pick up and begin playing?",234,16,1.0,0.0,16,0,0,1.5243,0.00425,0.0652,0.0243,0.226,1,0
What distinctive upper-body garment is worn by the musician who is first only partly seen but later stands to sing beside the guitarist?,239,16,1.0,0.0,16,0,0,1.6041,0.00396,0.0629,0.1041,0.225,1,0
Which shape of tiles does the worker first unwrap before mixing cement and later apply a sealing treatment to in their metallic-finished form?,213,16,1.0,0.0,16,0,0,2.3825,0.00374,0.0612,0.8825,0.9722,1,0
"What single word is printed on the other test tube the excited scientist waves alongside the one labeled ""Liquid Discus"" before the scene shifts to Donovan Tyler’s discus throw?",151,16,1.0,0.0,16,0,0,1.6649,0.0037,0.0608,0.1649,0.2429,1,0
"During both the foamy Kaboom cleaner spray and the later blue powder spraying, what object remains stationary on the edge of the bathroom sink?",209,16,1.0,0.0,16,0,0,1.7458,0.00309,0.0555,0.2458,0.3333,1,0
"Which animal is visible in the yard both earlier, when the woman mows alone just before the child grabs the mower, and later, while another adult kneels beside the mower to empty its clippings into a large black sack?",196,16,1.0,0.0,16,0,0,1.6918,0.00292,0.054,0.1918,0.3044,1,0
"During the scenes where the street vendor first slices papaya and later hands the packaged dish to a customer, what color apron is she consistently wearing?",220,16,1.0,0.0,16,0,0,2.3327,0.00259,0.0509,0.8327,0.95,1,0
"After the artist sketches with a red pen and wipes the blood away, the video later showcases the completed swirling red design before cutting to a chest tattoo. On which part of the client's body is that finished design located?",238,16,1.0,0.0,16,0,0,1.8026,0.00259,0.0509,0.3026,0.475,1,0
"After the close-ups of Nonni’s Thinaddictives biscotti and the repeated “GET ADDICTED” text, what piece of fitness equipment is shown next to extend the addiction theme?",140,16,1.0,0.0,16,0,0,1.58,0.0025,0.05,0.08,0.21,1,0
"After the person carefully organizes the Operation game pieces and before he starts arranging the Sorry! board, which board game’s box remains on the coffee table?",234,16,1.0,0.0,16,0,0,1.5112,0.00162,0.0403,0.0112,0.1667,1,0
"After the diver allows an octopus to coil around their arm, which animal does the same diver later swim alongside underwater?",226,16,1.0,0.0,16,0,0,1.5702,0.00152,0.039,0.0702,0.1887,1,0
"After Patrick Osborne is shown ranked sixth, which athlete is later presented with a higher placing, and what position is credited to him?",183,16,1.0,0.0,16,0,0,1.5976,0.00129,0.0359,0.0976,0.15,1,0
What natural scene appears after the footage of bright flames and before the man begins speaking to the camera again?,210,16,1.0,0.0,16,0,0,1.68,0.00107,0.0326,0.18,0.25,1,0
What decorative object can be seen near the musician both while he is drumming and when the computer screen with audio waveforms is shown?,235,16,1.0,0.0,16,0,0,2.1579,0.00064,0.0253,0.6579,0.6866,1,0
"When the man in the orange shirt walks across the lawn with a leaf blower, what color is the shirt of the person simultaneously driving the riding lawn mower?",228,16,1.0,0.0,16,0,0,1.5,0.0,0.0,0.0,0.0,1,1
"Which outdoor activity is shown right after Alex Mathews finishes talking beside the RV marked ""Adventurer Kayak""?",136,16,0.9688,0.121,15,1,0,2.0064,0.06331,0.2516,0.5376,0.9171,0,0
"After the man in a black sleeveless shirt and camouflage shorts successfully rides a unicycle over the bench, what wheeled equipment does he later use to perform tricks along a wooden bench?",221,16,0.9688,0.121,15,1,0,1.864,0.06055,0.2461,0.3953,0.8758,0,0
"During the kitchen sequence where the hand lifts the loaf of bread and later turns a mayonnaise jar, which packaged food does it display in between?",167,16,0.9688,0.121,15,1,0,2.1028,0.06051,0.246,0.634,0.9512,0,0
"After the segment showing visitors walking among hillside stupas on the Thimpu-to-Punakha route, which natural landmark does the video highlight before focusing on Punakha Dzong?",202,16,0.9688,0.121,15,1,0,1.8324,0.06032,0.2456,0.3637,0.5294,0,0
"What city is written on the championship T-shirt at the beginning, and what arena name is shown later during the baton-twirling performances?",170,16,0.9688,0.121,15,1,0,2.0918,0.05525,0.2351,0.6231,0.9959,0,0
